FILENAME,INSTRUMENT,BIBCODE,OBSERVATION_DATE,OBSERVATION_MJD,NAME,DESIGNATION,RA,DEC,SOURCE_KEY,OBSERVATION_TIME,PROGRAM_NUMBER,PROGRAM_PI,OBSERVER,RESOLUTION,AIRMASS,REDUCTION_SPEXTOOL_VERSION,QUALITY_FLAG,MEDIAN_SNR,SSPT,SPEX_GRAVITY_CLASSIFICATION,OSPT,OSPT_REF,NSPT,NSPT_REF,SPT,SPT_REF,OBJECT_TYPE,MAG_2MASS_J,E_MAG_2MASS_J,MAG_2MASS_H,E_MAG_2MASS_H,MAG_2MASS_KS,E_MAG_2MASS_KS,JK_EXCESS,COLOR_EXTREMITY,LUMINOSITY_CLASS,METALLICITY_CLASS,GRAVITY_CLASS_OPTICAL,GRAVITY_CLASS_OPTICAL_REF,GRAVITY_CLASS_NIR,GRAVITY_CLASS_NIR_REF,CLUSTER,CLUSTER_REF,BINARY,BINARY_REF,SBINARY,SBINARY_REF,COMPANION_NAME,COMPANION_REF,SIMBAD_OTYPE,SIMBAD_NAME,SIMBAD_SPT,SIMBAD_SPT_REF,SIMBAD_SEP,PARALLAX,PARALLAX_E,PARALLEX_REF,DISTANCE_PHOT,DISTANCE_PHOT_E,DISTANCE,DISTANCE_E,MU,MU_E,MU_RA,MU_DEC,MU_REF,VTAN,VTAN_E,RV,RV_E,RV_REF,VSINI,VSINI_E,VSINI_REF,NOTE
12267_12003.fits,SPEX-PRISM,2019arXiv190604166B,20150804,57238.60494,RG 0050-2722,J005254689-27055970,13.22783333,-27.09991666,12003,14 31 7.0623780,,,"Bardalez Gagliuffi, Burgasser",150,1.461,v4.0.3,POOR,186.287857,M8.0,FLD-G,,,M8.0,SPL,M7.5:V,1982MNRAS.199P..29L,VLM,13.611,0.026,12.984,0.032,12.54,0.029,0.046,,,,,,FLD-G,SPL,,,,,,,,,PM*,RG 0050-2722,M7.5:V,1982MNRAS.199P..29L,4.536663846,46,10,1996MNRAS.281..64,37.57033199,7.524891642,21.73913043,4.72589792,106,5,56,90,2009AJ....137....1F,10.92260869,,,,,,,,calibration issue
12579_12308.fits,SPEX-PRISM,2019arXiv190604166B,20151118,57344.33892,J0147-4954 BACKGROUND,J014732824-49544789,26.88675,-49.91330278,12308,08 08 2.4287530,,,Bardalez Gagliuffi,150,2.861,v4.0.4,BG,24.99864769,M0.0,,,,M0.0,SPL,,,STAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mispointing?
12588_12321.fits,SPEX-PRISM,2019arXiv190604166B,20150513,57155.30834,J1152+2438 Background,J11523966+2438066,178.17775,24.63555278,12321,07 24 0.96890000,,,Bardalez Gagliuffi,150,1.012,v4.0be,BG,109.7633972,,,,,,,,,STAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mispointing?
12612_12342.fits,SPEX-PRISM,2019arXiv190604166B,20160702,57571.38718,J1707+6439 Background,J170718308+64393313,256.82625,64.65920278,12342,09 17 32.368646,,,Burgasser,150,1.416,v4.1,BG,92.40838623,,,,,,,,,STAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mispointing?
11776_10232.fits,SPEX-PRISM,2014ApJ...794..143B,20121227,56288.766,2MASS J02522628+0056220,J02522628+0056220,43.109501,0.93944442,10232,06 22 22.499415,,,Burgasser,120,1.064,v3.4,OK,260,M9.0,FLD-G,M8,,,,M8,,VLM,13.126,0.023,12.441,0.024,11.963,0.019,0.03,,,,,,FLD-G,SPL,,,,,,,,,brownD*,2MASS J02522628+0056223,M8V,2011ApJS..197...19K,,36,0.4,2002AJ....124.1170D,,,27.778,0.309,203.3,15.56,-177,-100,2010MNRAS.404.1817Z,26.7672213,2.069732766,13,,2011AJ....141...97W,,,,poor telluric correction
10422_10274.fits,SPEX-PRISM,2006AJ....131.2722C,20050813,53595.5,SDSS J032553.17+042540.1,J03255322+0425406,51.471752,4.4279442,10274,,,,,120,,,OK,21,T5.0,,,,T5.5,2006AJ....131.2722C,T5.5,2006AJ....131.2722C,VLM,15.9,0.03,16.25,0.03,16.47,0.03,0,,,,,,,,,,,,,,,,brownD*,2MASS J03255322+0425406,T5.5,2006AJ....131.2722C,,55.6,10.9,2012ApJ...752...56F,,,17.986,3.526,174.21,8.13,-163.7,-59.6,2012ApJ...752...56F,14.85189344,2.99301006,,,,,,,Possible J flux calibration problem
10001_10443.fits,SPEX-PRISM,2004PASP..116..362C,20001106,51855.011,SDSSp J053951.99-005902.0,J05395199-00590189,84.966621,-0.98383337,10443,12 16 5.2351810,,,Rayner,200,1.086,v3.5b,OK,224,L5.0,FLD-G,L5,2000AJ....119..928F,L5,2004AJ....127.3553K,L5,2000AJ....119..928F,VLM,14.033,0.031,13.104,0.026,12.527,0.024,-0.31,BLUE,,,,,FLD-G,SPL,,,,,,,,,brownD*,2MASS J05395200-0059019,L5,2014AJ....147...34S,,76.12,2.17,2012ApJ...752...56F,,,13.137,0.375,364.02,2.88,158.3,327.8,2013AJ....146..161M,22.66766178,0.670699045,13.91,0.15,2010ApJ...723..684B,32.3,0.75,2010ApJ...723..684B,
10002_10782.fits,SPEX-PRISM,2004AJ....127.2856B,20030521,52780.5,2MASSI J1104012+195921,J11040127+1959217,166.00529,19.989361,10782,,,,Burgasser,120,,,OK,114,L5.0,FLD-G,L4,2003AJ....126.2421C,,,L4,2003AJ....126.2421C,VLM,14.38,0.026,13.476,0.034,12.95,0.029,-0.16,,,,,,FLD-G,SPL,,,,,,,,,brownD*,2MASS J11040127+1959217,L4,2014AJ....147...34S,,,,,,,,,157.94,25,75,139,2008MNRAS.384.1399J,,,,,,,,,
10003_10830.fits,SPEX-PRISM,2004AJ....127.2856B,20030521,52780.5,2MASS J11323833-1446374,J11323833-1446374,173.15971,-14.777056,10830,,,,Burgasser,120,,,POOR,23,M6.0,,,,M7,2004AJ....127.2856B,M7,2004AJ....127.2856B,VLM,15.826,0.09,15.621,0.117,15.33,0.196,-0.06,,,,,,FLD-G,SPL,,,,,,,,,brownD*,2MASS J11323833-1446374,M7V,2004AJ....127.2856B,,,,,,,,,,,,,,,,,,,,,,
10004_10916.fits,SPEX-PRISM,2004AJ....127.2856B,20030521,52780.5,2MASS J12314753+0847331,J12314753+0847331,187.94803,8.7925282,10916,,,,Burgasser,120,,,OK,39,T6.0,,,,T5.5,2006ApJ...637.1067B,T5.5,2006ApJ...637.1067B,VLM,15.57,0.072,15.309,0.112,15.22,0.195,0.27,,,,,,,,,,,,,,,,brownD*,ULAS2MASS J1231+0847,T5.5,2009AJ....137....1F,,,,,,,,,1571.89,29.7,-1176,-1043,2009AJ....137....1F,,,,,,,,,
