NAME,DESIGNATION,RA,DEC,SOURCE_KEY,OPT_TYPE,OPT_TYPE_REF,NIR_TYPE,NIR_TYPE_REF,LIT_TYPE,LIT_TYPE_REF,OBJECT_TYPE,J_2MASS,J_2MASS_E,H_2MASS,H_2MASS_E,KS_2MASS,KS_2MASS_E,JK_EXCESS,COLOR_EXTREMITY,LUMINOSITY_CLASS,METALLICITY_CLASS,GRAVITY_CLASS_OPTICAL,GRAVITY_CLASS_OPTICAL_REF,GRAVITY_CLASS_NIR,GRAVITY_CLASS_NIR_REF,CLUSTER,CLUSTER_REF,LIBRARY,BINARY,BINARY_REF,SBINARY,SBINARY_REF,COMPANION_NAME,COMPANION_REF,SIMBAD_OTYPE,SIMBAD_NAME,SIMBAD_SPT,SIMBAD_SPT_REF,SIMBAD_SEP,PARALLAX,PARALLAX_E,PARALLEX_REF,DISTANCE_PHOT,DISTANCE_PHOT_E,DISTANCE,DISTANCE_E,MU,MU_E,MU_RA,MU_DEC,MU_REF,VTAN,VTAN_E,RV,RV_E,RV_REF,VSINI,VSINI_E,VSINI_REF,NOTE
Saturn,J0000000+000000,0,0,11722,,,,,,,PLANET,,,,,,,,,,,,,,,,,planet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturn ring,J0000000+000000,0,0,11723,,,,,,,PLANET,,,,,,,,,,,,,,,,,planet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSS J000013.54+255418.6,J00001354+2554180,0.056416664,25.904999,10001,,,T4.5,2006ApJ...637.1067B,T4.5,2006ApJ...637.1067B,VLM,15.063,0.041,14.731,0.074,14.836,0.12,-0.04,,,,,,,,,,,,,,,,,brownD*,2MASS J00001354+2554180,T4.5,2009AJ....137....1F,,70.8,1.9,2012ApJS..201...19D,,,14.124,0.379,130.14,29.07,6,130,2008MNRAS.384.1399J,8.712654782,1.960132342,,,,,,,
2MASS J0000286-124515,J00002867-1245153,0.11945834,-12.75425,10002,M8.5,2007AJ....133..439C,,,M8.5,2007AJ....133..439C,VLM,13.2,0.026,12.445,0.023,11.973,0.023,-0.01,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASSI J0000286-124515,M8.5,2004ApJ...604L..61C,,,,,,,,,,,,,,,,,,,,,,
SDSS J000112.18+153535.5,J00011218+1535355,0.30075002,15.593194,10003,,,L4 beta,2015ApJS..219...33G,L4 beta,2015ApJS..219...33G,VLM,15.522,0.062,14.505,0.053,13.71,0.044,0.07,,,,beta,,INT-G,OTHER,AB Doradus,2015ApJS..219...33G,young,,,,,,,brownD*,2MASS J00011217+1535355,L4,2004AJ....127.3553K,,,,,,,,,225.97,27.46,150,-169,2008MNRAS.384.1399J,,,,,,,,,
2MASS J00013044+1010146,J00013044+1010146,0.37683335,10.170723,10004,,,M7,2004AJ....127.2856B,M7,2004AJ....127.2856B,VLM,15.826,0.077,15.132,0.1,15.205,0.154,-0.06,,,,,,,,,,,Y,,,,,,**,2MASS J00013044+1010146,M6,2004AJ....127.2856B,,,,,,,,,,,,,,,,,,,,,,
WISE J000131.93-084126.9,J00013193-0841269,0.38304168,-8.6905556,10005,,,L1 pec (blue),2014ApJ...787..126L,L1 pec (blue),2014ApJ...787..126L,VLM,15.71,0.05,15.71,0.05,15.71,0.05,-0.24,,,,,,INT-G,SPL,,,blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSS J00015431-09430070,J00015431-09430070,0.47629172,-9.7168608,10006,,,,,,,VLM,14.791,0.036,14.168,0.041,13.817,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSS J00015458-09425809,J00015458-09425809,0.47741666,-9.7161112,10007,,,,,,,VLM,14.022,0.041,13.441,0.045,13.143,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LP 584-4,J000206237+01153609,0.525958333,1.260025,12702,,,M9.0,SPL,M6.5e,2006A&A...446..515P,VLM,12.168,0.022,11.543,0.023,11.129,0.023,0.079,,,,,,FLD-G,SPL,,,,,,,,,,PM*,LP  584-4,M6.5e,2006A&A...446..515P,12.10483913,59.5,4.7,2014ApJ...784..156D,23.51441863,4.415437985,16.80672269,1.327589859,473.3550465,,468,71,2005AJ....129.1483L,37.70929278,,,,,,,,
SDSS J000250.98+245413.8,J00025097+2454141,0.71237504,24.903915,10008,,,L5.5,2006AJ....131.2722C,L5.5,2006AJ....131.2722C,VLM,17.165,0.224,16.06,0.191,15.656,0.217,0.28,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASS J00025097+2454141,L5.5,2006AJ....131.2722C,,,,,,,,,57.88,55.9,3,-57.8,2010AJ....139.1808S,,,,,,,,,
2MASS J00034248-2822449,J00034248-2822449,0.92699999,-28.379139,10009,,,,,,,VLM,13.068,0.024,12.376,0.028,11.972,0.025,,,,,,,,,,,young companion,,,,,HD 225118,,brownD*,2MASSI J0003422-282241,M7.0V,2009ApJ...699..649S,,27.2,,2012ApJ...758...56S,,,36.765,,295.08,24.08,257,-145,2009AJ....137....1F,51.42255903,4.196849875,11.6,1.1,2012ApJ...758...56S,,,,Shkolnik et al. (2012) place age at 0.3-1 Gyr
LHS 102B,J00043484-4044058,1.1451666,-40.734943,10010,L5,2001AJ....121.3235K,L4.5,2004AJ....127.3553K,L5,2001AJ....121.3235K,VLM,13.109,0.024,12.055,0.026,11.396,0.026,0.07,,,,,,FLD-G,SPL,,,binary companion,Y,,,,LHS 102A,1999A&A...351L...5E,brownD*,GJ 1001 B,L5+L5,2008AJ....136.1290R,,76.86,3.97,2012ApJ...752...56F,,,13.011,0.672,1830.41,100.09,686,-1697,2007AJ....133.2258S,112.8824991,8.491024343,32.84,0.17,2010ApJ...723..684B,24.8,0.4,2010ApJ...723..684B,binary: a=0.087+/-0.006 at 48.1+/-5.2(+/-180)deg (Golimowski et al. 2004); BC located 18.2 at 259deg from GJ 1001A on 20 Aug. 2003 (Golimowski et al. 2004)
LHS 102A,J00043642-4044020,1.1517501,-40.733891,10011,M3.5,,,,M3.5,,STAR,8.601,0.021,8.043,0.031,7.737,0.04,,,,,,,,,,,companion,,,,,LHS 102BC,1999A&A...351L...5E,Star,[BGM2011b] J072227.60-054038.3,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J00044144-2058298,J000441442-20582984,1.172666666,-20.97495555,12000,,,M7.0,SPL,M8,2009AJ....137....1F,VLM,12.404,0.022,11.834,0.019,11.396,0.023,-0.04,,,,,,FLD-G,SPL,,,,,,,,,,PM*,2MASS J00044144-2058298,M8,2009AJ....137....1F,13.23443708,,,,19.23126873,3.792649922,19.23126873,3.792649922,826.04903,107,826,-9,2005A&A...435..363D,75.29950198,,,,,,,,
2MASS J00045618+0451168,J00045618+0451168,1.234375,4.857247222,11990,,,,,,,STAR,14.301,0.029,13.688,0.04,13.381,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLTT 184,J00054517+0723423,1.4382085,7.3950834,10012,M4,2010ApJS..190..100K,sdM6,2010ApJS..190..100K,M4,2010ApJS..190..100K,STAR,14.812,0.035,14.345,0.063,14.031,0.063,,,,sd,,,,,,,subdwarf,,,,,,,PM*,NLTT  184,sdM6,2010ApJS..190..100K,,,,,,,,,261.69,,-19,-261,2005AJ....129.1483L,,,,,,,,,
LEHPM 1-162,J00054768-2157176,1.4486667,-21.954889,10013,M8.5,,M8,BURGASSER-NP,M8.5,BURGASSER-NP,VLM,13.274,0.025,12.617,0.024,12.201,0.03,-0.08,,,,,,INT-G,SPL,,,,,,,,,,brownD*,SSSPM J0006-2157,M8.5e,2005A&A...440.1061L,,,,,,,,,778.34,45.35,753,-197,2005A&A...435..363D,,,,,,,,,
2MASSI J0006205-172051,J00062050-1720506,1.5854167,-17.347389,10014,L2.5,2003A&A...403..929K,,,L2.5,2003A&A...403..929K,VLM,15.662,0.065,14.646,0.059,14.01,0.052,0.18,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASS J00062050-1720506,L2.5,2009AJ....137....1F,,,,,,,,,36.24,24.76,-32,17,2009AJ....137....1F,,,,,,,,,
2MASS J00062250+1300451,J00062250+1300451,1.59675,13.01030278,12733,,,L2.0,SPL,L2,SPL,VLM,16.956,0.169,15.932,0.121,15.252,0.18,0.344,,,,,,INT-G,SPL,,,,,,,,,,,,,,,,,,87.70082226,16.67600774,87.70082226,16.67600774,,,,,,,,,,,,,,
WISE J000622.67-131955.2,J00062267-1319552,1.5944583,-13.331944,10015,,,L5 pec,2014ApJ...787..126L,L5 pec,2014ApJ...787..126L,VLM,16.67,0.13,15.55,0.11,15.12,0.13,0.04,,,,,,VL-G,SPL,,,,,,,,,,PM*,WISE J000622.67-131955.2,,,,,,,,,,,493.16,20.52,-245,-428,2014ApJ...781....4L,,,,,,,,,
WISE J00062785+1857288,J00062785+1857288,1.61604167,18.9578,11964,,,L7.0,SPL,L7,2016ApJ...817..112S,VLM,17.138,0.206,15.686,0.152,14.836,0.084,,,,,,,FLD-G,SPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSS J000632.60+140606.4,J00063260+1406064,1.6358334,14.101778,10016,L1,2008AJ....135..785W,,,L1,2008AJ....135..785W,VLM,15.849,0.062,15.302,0.074,15.06,0.147,-0.14,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASS J00063258+1406064,L0,2008AJ....135..785W,,,,,,,,,80.65,12.73,77,24,2010MNRAS.404.1817Z,,,-99,39,2009yCat.2294....0A,,,,
SDSS J000636.38-090603.0,J00063639-0906030,1.651583333,-9.10085,12703,,,M6.0,SPL,M6.0,SPL,VLM,11.467,0.023,10.916,0.024,10.575,0.021,-0.028,,,,,,,,,,,,,,,,,Candidate_brownD*,SDSS J000636.38-090603.0,,,3.109671086,,,,20.11399384,3.936488544,20.11399384,3.936488544,170.1881312,25,-170,8,2017AJ....153...92T,16.22579273,,,,,,,,
SDSS J000646.81+151225.8,J00064681+1512258,1.6950417,15.207167,10017,L4::,2010MNRAS.404.1817Z,,,L4::,2010MNRAS.404.1817Z,VLM,16.22,0.09,15.25,0.08,14.81,0.12,-0.12,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASS J00064683+1512260,L4,2010MNRAS.404.1817Z,,,,,,,,,68.48,14.14,-60,-33,2010MNRAS.404.1817Z,,,,,,,,,
