Program	Status	Test	Captioned	Documented
core.py				
Spectrum class				
__init__		test_spectrum_class		
__copy__		test_spectrum_class		
__repr__				
__add__		test_spectrum_math		
__sub__		test_spectrum_math		
__mul__		test_spectrum_math		
__div__		test_spectrum_math		
copy		test_spectrum_class		
computeSN		test_spectrum_scaling		
info		test_spectrum_class		
export		test_spectrum_class		
save		test_spectrum_class		
toFnu		test_spectrum_conversions		
toFlam		test_spectrum_conversions		
fluxCalibrate		test_spectrum_scaling		
fluxMax		test_spectrum_scaling		
normalize		test_spectrum_scaling		
plot		test_spectrum_plot		
reset		test_spectrum_scaling		
scale		test_spectrum_scaling		
showHistory				
smooth		test_spectrum_smooth		
_smoothToResolution		test_spectrum_smooth		
_smoothToSlitPixelWidth		test_spectrum_smooth		
_smoothToSlitWidth		test_spectrum_smooth		
surface		test_spectrum_conversions		
brightnessTemperature		test_spectrum_conversions		
temperature		test_spectrum_conversions		
trim		test_spectrum_trim		
waverange		test_spectrum_trim		
				
classifyByIndex		test_indices		
classifyByStandard		test_standards		
classifyByTemplate		test_classify_template		
classifyGravity		test_classify_gravity		
metallicity		test_metallicity		
compareSpectra		test_compare		
_generateMask		test_masking		
getSpectrum		test_getspectrum		
getStandard		test_standards		
initiateStandards		test_standards		
measureEW		test_ews		
measureEWSet		test_ews		
measureIndex		test_indices		
measureIndexSet		test_indices		
readSpectrum		test_read		
keySource		test_database		
keySpectrum		test_database		
searchLibrary		test_database		
				
empirical.py				
estimateDistance				
redden 	BETA			
typeToColor 				
typeToMag 				
typeToTeff 				
typeToLuminosity	PLACE HOLDER			
typeToBC	PLACE HOLDER			
				
utilities.py				
checkAccess		test_online_access		
checkLocal		test_online_access		
checkOnline		test_online_access		
checkFile		test_online_access		
checkKeys 		test_check_keys		
coordinateToDesignation 		test_coordinate_conversion		
designationToCoordinate 		test_coordinate_conversion		
designationToShortName 		test_coordinate_conversion		
properCoordinates 		test_coordinate_conversion		
properDate 		test_date_conversion		
typeToNum 		test_type_conversion		
isNumber 		test_isnumber		
distributionStats 		test_stats		
weightedMeanVar 		test_stats		
				
photometry.py				
filterMag		test_filterMag		
filterInfo		test_filters		
filterProperties		test_filters		
				
model.py				
processModels				
_checkModelName				
loadModel				
getModel	copies to loadModel			
_checkModelParametersInRange				
loadInterpolatedModel				
_loadModelParameters				
_modelFitPlotComparison				
modelFitGrid				
modelFitMCMC				
reportModelFitResults				
modelFitEMCEE				
_modelFitEMCEE_bestparameters				
_modelFitEMCEE_lnlikelihood				
_modelFitEMCEE_lnprior_limits				
_modelFitEMCEE_lnprior_normal				
_modelFitEMCEE_lnprob				
_modelFitEMCEE_plotchains				
_modelFitEMCEE_plotcomparison				
_modelFitEMCEE_plotbestcomparison				
_modelFitEMCEE_plotcorner				
_modelFitEMCEE_summary				
calcLuminosity	INCOMPLETE			
				
citations.py				
bibTexParser				
shortRef				
longRef				
veryLongRef				
getBibTex				
getBibTexOnline				
				
database.py				
fetchDatabase				
queryVizier				
getPhotometry	copies to queryVizier			
querySimbad				
_querySimbad2				
importSpectra				
				
plot.py				
plotSpectrum				
plotBatch				
plotIndices	PLACE HOLDER			
plotSED	PLACE HOLDER			
plotSequence				
				
evolve.py				
loadEvolModel		test_loadEvolModel		
_modelParametersSingle		test_modelParameters		
modelParameters		test_modelParameters		
plotModelParameters				
simulateAges				
simulateMasses				
simulateMassRatios				
simulateSpatialDistribution	PLACE HOLDER			
simulateKinematics	PLACE HOLDER			
simulateBinaryOrbits	PLACE HOLDER			
simulateGalacticOrbits	PLACE HOLDER			
simulatePhotometry	PLACE HOLDER			
simulatePopulation	INCOMPLETE			
