#WISE_W2
#http://wise2.ipac.caltech.edu/docs/release/prelim/expsup/sec4_3g.html#WISEZMA
#photon counting, es decir, que no hay que multiplicar por lambda
#hecha a partir de la QE multiplicando por lambda y normalizando para que el maximo este en 1
# Relative Spectral Response per erg (Equal-Energy); Jarrett et al. 2011
#  W1     RSR     
# Angstrom %1
38900.0 0.0001082500
39000.0 0.0001545400
39100.0 0.0002234100
39200.0 0.0004175000
39300.0 0.0005683400
39400.0 0.0004411300
39500.0 0.0013124000
39600.0 0.0092633000
39700.0 0.0114780000
39800.0 0.0145090000
39900.0 0.0186720000
40000.0 0.0244210000
40100.0 0.0344260000
40200.0 0.0505560000
40300.0 0.0750320000
40400.0 0.1100100000
40500.0 0.1570100000
40600.0 0.2246700000
40700.0 0.3065000000
40800.0 0.3971200000
40900.0 0.4939100000
41000.0 0.5889400000
41100.0 0.6726900000
41200.0 0.7415400000
41300.0 0.7976100000
41400.0 0.8385700000
41500.0 0.8631300000
41600.0 0.8806600000
41700.0 0.8911100000
41800.0 0.8956400000
41900.0 0.8953900000
42000.0 0.8939200000
42100.0 0.8888400000
42200.0 0.8825100000
42300.0 0.8761400000
42400.0 0.8770000000
42500.0 0.8802800000
42600.0 0.8811400000
42700.0 0.8783200000
42800.0 0.8779400000
42900.0 0.8812100000
43000.0 0.8881800000
43100.0 0.8951700000
43200.0 0.9021900000
43300.0 0.9067500000
43400.0 0.9100800000
43500.0 0.9109400000
43600.0 0.9080500000
43700.0 0.9051400000
43800.0 0.8997000000
43900.0 0.8917200000
44000.0 0.8849500000
44100.0 0.8794000000
44200.0 0.8738200000
44300.0 0.8707400000
44400.0 0.8663600000
44500.0 0.8645000000
44600.0 0.8651700000
44700.0 0.8696600000
44800.0 0.8780000000
44900.0 0.8889400000
45000.0 0.9012100000
45100.0 0.9161000000
45200.0 0.9284600000
45300.0 0.9421600000
45400.0 0.9533200000
45500.0 0.9619200000
45600.0 0.9692400000
45700.0 0.9739800000
45800.0 0.9774200000
45900.0 0.9769300000
46000.0 0.9751200000
46100.0 0.9719700000
46200.0 0.9661600000
46300.0 0.9603100000
46400.0 0.9531100000
46500.0 0.9458600000
46600.0 0.9385800000
46700.0 0.9352500000
46800.0 0.9319100000
46900.0 0.9312200000
47000.0 0.9305200000
47100.0 0.9338500000
47200.0 0.9385300000
47300.0 0.9445700000
47400.0 0.9546900000
47500.0 0.9621300000
47600.0 0.9723200000
47700.0 0.9798100000
47800.0 0.9859600000
47900.0 0.9880200000
48000.0 0.9900900000
48100.0 0.9894000000
48200.0 0.9887000000
48300.0 0.9893800000
48400.0 0.9886600000
48500.0 0.9893200000
48600.0 0.9899700000
48700.0 0.9906100000
48800.0 0.9926500000
48900.0 0.9946800000
49000.0 0.9967100000
49100.0 0.9973500000
49200.0 0.9993800000
49300.0 1.0000000000
49400.0 0.9992100000
49500.0 0.9969900000
49600.0 0.9947500000
49700.0 0.9910800000
49800.0 0.9859600000
49900.0 0.9808100000
50000.0 0.9713500000
50100.0 0.9632700000
50200.0 0.9522800000
50300.0 0.9412500000
50400.0 0.9301600000
50500.0 0.9190200000
50600.0 0.9078300000
50700.0 0.8965900000
50800.0 0.8867500000
50900.0 0.8768600000
51000.0 0.8669300000
51100.0 0.8540300000
51200.0 0.8410700000
51300.0 0.8207300000
51400.0 0.7988300000
51500.0 0.7636100000
51600.0 0.7267600000
51700.0 0.6764700000
51800.0 0.6200700000
51900.0 0.5560200000
52000.0 0.4856400000
52100.0 0.4166200000
52200.0 0.3471700000
52300.0 0.2835900000
52400.0 0.2256000000
52500.0 0.1750400000
52600.0 0.1354600000
52700.0 0.0992480000
52800.0 0.0759350000
52900.0 0.0532130000
53000.0 0.0407460000
53100.0 0.0283070000
53200.0 0.0210810000
53300.0 0.0146970000
53400.0 0.0104350000
53500.0 0.0072372000
53600.0 0.0040457000
53700.0 0.0030484000
53800.0 0.0022763000
53900.0 0.0017339000
54000.0 0.0012893000
54100.0 0.0009729400
54200.0 0.0007387600
54300.0 0.0005488500
54400.0 0.0003910200
54500.0 0.0003095300
54600.0 0.0002154200
54700.0 0.0002786300
54800.0 0.0003153100
54900.0 0.0003135300
55000.0 0.0002592600
55100.0 0.0002251000
55200.0 0.0001953900
55300.0 0.0001501200
55400.0 0.0001333300
55500.0 0.0001042400
55600.0 0.0000605190
