#lam	trans
0.529	0.001
0.53	0.001
0.531	0.001
0.532	0.001
0.533	0.001
0.534	0.002
0.535	0.002
0.536	0.003
0.537	0.004
0.538	0.005
0.539	0.008
0.54	0.011
0.541	0.017
0.542	0.026
0.543	0.04
0.544	0.062
0.545	0.093
0.546	0.134
0.547	0.184
0.548	0.242
0.549	0.305
0.55	0.367
0.551	0.423
0.552	0.469
0.553	0.504
0.554	0.528
0.555	0.544
0.556	0.556
0.557	0.565
0.558	0.57
0.559	0.575
0.56	0.578
0.561	0.582
0.562	0.584
0.563	0.586
0.564	0.588
0.565	0.59
0.566	0.591
0.567	0.592
0.568	0.592
0.569	0.591
0.57	0.591
0.571	0.589
0.572	0.586
0.573	0.583
0.574	0.581
0.575	0.582
0.576	0.586
0.577	0.592
0.578	0.599
0.579	0.606
0.58	0.612
0.581	0.615
0.582	0.617
0.583	0.617
0.584	0.616
0.585	0.614
0.586	0.611
0.587	0.609
0.588	0.609
0.589	0.61
0.59	0.615
0.591	0.621
0.592	0.623
0.593	0.623
0.594	0.621
0.595	0.621
0.596	0.624
0.597	0.628
0.598	0.633
0.599	0.638
0.6	0.641
0.601	0.642
0.602	0.644
0.603	0.647
0.604	0.649
0.605	0.651
0.606	0.652
0.607	0.653
0.608	0.654
0.609	0.655
0.61	0.655
0.611	0.656
0.612	0.656
0.613	0.657
0.614	0.656
0.615	0.653
0.616	0.648
0.617	0.643
0.618	0.64
0.619	0.64
0.62	0.642
0.621	0.645
0.622	0.648
0.623	0.647
0.624	0.646
0.625	0.646
0.626	0.648
0.627	0.652
0.628	0.641
0.629	0.655
0.63	0.657
0.631	0.662
0.632	0.662
0.633	0.66
0.634	0.66
0.635	0.66
0.636	0.663
0.637	0.668
0.638	0.673
0.639	0.678
0.64	0.681
0.641	0.684
0.642	0.685
0.643	0.686
0.644	0.687
0.645	0.686
0.646	0.685
0.647	0.684
0.648	0.683
0.649	0.683
0.65	0.685
0.651	0.686
0.652	0.684
0.653	0.686
0.654	0.687
0.655	0.684
0.656	0.684
0.657	0.682
0.658	0.682
0.659	0.681
0.66	0.679
0.661	0.677
0.662	0.675
0.663	0.672
0.664	0.669
0.665	0.666
0.666	0.664
0.667	0.663
0.668	0.663
0.669	0.663
0.67	0.663
0.671	0.662
0.672	0.662
0.673	0.66
0.674	0.658
0.675	0.655
0.676	0.652
0.677	0.649
0.678	0.644
0.679	0.639
0.68	0.633
0.681	0.626
0.682	0.617
0.683	0.608
0.684	0.595
0.685	0.579
0.686	0.556
0.687	0.427
0.688	0.428
0.689	0.391
0.69	0.346
0.691	0.305
0.692	0.255
0.693	0.204
0.694	0.156
0.695	0.116
0.696	0.084
0.697	0.06
0.698	0.042
0.699	0.029
0.7	0.021
0.701	0.015
0.702	0.011
0.703	0.008
0.704	0.006
0.705	0.005
0.706	0.004
0.707	0.003
0.708	0.002
0.709	0.002
0.71	0.001
0.711	0.001
0.712	0.001
0.713	0.001
