# Wavelength	Transmission
1.396846	0.01883507
1.397233	0.01846696
1.397621	0.01809885
1.398008	0.01773074
1.398395	0.01736262
1.398783	0.01699451
1.39917	0.0166264
1.399558	0.01625829
1.399945	0.01589017
1.400332	0.01552206
1.40072	0.01515395
1.401107	0.01478584
1.401494	0.01441773
1.401882	0.01404961
1.402269	0.0136815
1.402657	0.01331339
1.403044	0.01294528
1.403431	0.01257717
1.403819	0.01220905
1.404206	0.01184094
1.404593	0.01147283
1.404981	0.01110472
1.405368	0.0107366
1.405756	0.01036849
1.406143	0.01000038
1.40653	0.009632268
1.406918	0.009264156
1.407305	0.008896044
1.407692	0.008527932
1.40808	0.00815982
1.408467	0.007791707
1.408855	0.007423595
1.409242	0.007055483
1.409629	0.006687371
1.410017	0.006319259
1.410404	0.005951147
1.410791	0.005583034
1.411179	0.005214922
1.411566	0.00484681
1.411954	0.004478698
1.412341	0.004110586
1.412728	0.003742474
1.413116	0.003374361
1.413503	0.003006249
1.41389	0.002638137
1.414278	0.002270025
1.414665	0.001901913
1.415053	0.001533801
1.41544	0.001165689
1.415442	0.1120288
1.415829	0.1116607
1.416216	0.1112926
1.416604	0.1109245
1.416989	-0.00030676
1.417377	-0.000674872
1.417764	-0.001042984
1.418152	-0.001411097
1.418539	-0.001779209
1.418926	-0.002147321
1.419314	-0.002515433
1.419701	-0.002883545
1.420088	-0.003251657
1.420476	-0.00361977
1.420863	-0.003987882
1.421251	-0.004355994
1.421638	-0.004724106
1.422025	-0.005092218
1.422413	-0.00546033
1.4228	-0.005828443
1.423188	-0.006196555
1.423575	-0.006564667
1.423962	-0.006932779
1.42435	-0.007300891
1.424737	-0.007669003
1.425124	-0.008037116
1.425512	-0.008405228
1.425899	-0.00877334
1.426287	-0.009141452
1.426674	-0.009509564
1.427061	-0.009877676
1.427449	-0.01024579
1.427836	-0.0106139
1.428223	-0.01098201
1.428611	-0.01135012
1.428998	-0.01171824
1.429386	-0.01208635
1.429773	-0.01245446
1.43016	-0.01282257
1.430548	-0.01319069
1.430935	-0.0135588
1.431322	-0.01392691
1.43171	-0.01429502
1.432097	-0.01466313
1.432485	-0.01503125
1.432872	-0.01539936
1.433259	-0.01576747
1.433647	-0.01613558
1.434034	-0.0165037
1.434421	-0.01687181
1.434809	-0.01723992
1.435196	-0.01760803
1.435584	-0.01797614
1.435971	-0.01834426
1.436358	-0.01871237
1.436746	-0.01908048
1.437133	-0.01944859
1.43752	-0.0198167
1.437522	0.09104641
1.43791	0.0906783
1.438297	0.09031018
1.438684	0.08994207
1.439072	0.08957396
1.439459	0.08920585
1.439846	0.08883773
1.439848	0.1997008
1.440236	0.1993327
1.440623	0.1989646
1.44101	0.1985965
1.441398	0.1982284
1.441785	0.1978603
1.442172	0.1974922
1.44256	0.1971241
1.442947	0.196756
1.443335	0.1963878
1.443722	0.1960197
1.443724	0.3068828
1.444111	0.3065147
1.444498	0.3061466
1.4445	0.4170097
1.444887	0.4166416
1.445275	0.4162735
1.445277	0.5271366
1.445664	0.5267685
1.446051	0.5264004
1.446439	0.5260323
1.446826	0.5256642
1.447213	0.5252961
