# Wavelength	Transmission
1.813156	-0.01047644
1.813158	0.1010052
1.813545	0.1006971
1.813932	0.100389
1.814318	0.1000809
1.814705	0.09977272
1.815092	0.09946459
1.815478	-0.01232523
1.815865	-0.01263336
1.815866	0.09884833
1.816253	0.0985402
1.81664	0.09823207
1.817027	0.09792394
1.817414	0.09761581
1.817801	0.09730768
1.818188	0.09699955
1.818575	0.09669142
1.818962	0.09638329
1.819348	-0.01540654
1.819734	-0.01571467
1.819736	0.09576702
1.820123	0.09545889
1.82051	0.09515076
1.820897	0.09484263
1.821284	0.0945345
1.821671	0.09422637
1.822057	0.09391824
1.822444	0.09361011
1.822831	0.09330198
1.823218	0.09299385
1.823605	0.09268572
1.823992	0.09237759
1.824379	0.09206946
1.824766	0.09176132
1.825153	0.09145319
1.82554	0.09114506
1.825927	0.09083693
1.826314	0.0905288
1.8267	-0.02126102
1.827087	-0.02156915
1.827088	0.08991254
1.827475	0.08960441
1.82786	-0.02218541
1.828247	-0.02249354
1.828634	-0.02280167
1.829021	-0.0231098
1.829408	-0.02341793
1.829795	-0.02372606
1.830182	-0.0240342
1.830569	-0.02434233
1.830956	-0.02465046
1.831343	-0.02495859
1.83173	-0.02526672
1.832117	-0.02557485
1.832504	-0.02588298
1.832891	-0.02619111
1.832892	0.08529058
1.833279	0.08498245
1.833666	0.08467432
1.834052	-0.0271155
1.834439	-0.02742363
1.834826	-0.02773176
1.835212	-0.02803989
1.835599	-0.02834803
1.835986	-0.02865616
1.836373	-0.02896429
1.83676	-0.02927242
1.837147	-0.02958055
1.837534	-0.02988868
1.837921	-0.03019681
1.838308	-0.03050494
1.838695	-0.03081307
1.838696	0.08066862
1.839083	0.08036049
1.83947	0.08005236
1.839856	-0.03173746
1.840243	-0.03204559
1.84063	-0.03235372
1.841017	-0.03266185
1.841018	0.07881983
1.841405	0.0785117
1.841791	-0.03327812
1.842178	-0.03358625
1.842565	-0.03389438
1.842952	-0.03420251
1.842953	0.07727918
1.84334	0.07697105
1.843727	0.07666292
1.844114	0.07635479
1.844499	-0.03543503
1.844886	-0.03574316
1.844888	0.07573853
1.845275	0.0754304
1.84566	-0.03635942
1.845661	0.07512227
