# Wavelength	Transmission
4.013827	0
4.014692	0.1129944
4.015557	0.1129944
4.016421	0.1129944
4.017285	0.1129944
4.018149	0.1129944
4.019013	0.1129944
4.019878	0.1129944
4.020742	0.1129944
4.021606	0.1129944
4.02247	0.1129944
4.023334	0.1129944
4.024199	0.1129944
4.025063	0.1129944
4.025927	0.1129944
4.026791	0.1129944
4.027655	0.1129944
4.028519	0.1129944
4.029384	0.1129944
4.030248	0.1129944
4.031112	0.1129944
4.031976	0.1129944
4.03284	0.1129944
4.033705	0.1129944
4.034569	0.1129944
4.035433	0.1129944
4.036297	0.1129944
4.037161	0.1129944
4.038026	0.1129944
4.03889	0.1129944
4.039754	0.1129944
4.040618	0.1129944
4.041482	0.1129944
4.042347	0.1129944
4.043211	0.1129944
4.044075	0.1129944
4.044939	0.1129944
4.045803	0.1129944
4.046668	0.1129944
4.047532	0.1129944
4.048396	0.1129944
4.04926	0.1129944
4.050124	0.1129944
4.050989	0.1129944
4.051853	0.1129944
4.052717	0.1129944
4.053581	0.1129944
4.054445	0.1129944
4.05531	0.1129944
4.056174	0.1129944
4.057038	0.1129944
4.057902	0.1129944
4.058766	0.1129944
4.059631	0.1129944
4.060495	0.1129944
4.061359	0.1129944
4.062223	0.1129944
4.063087	0.1129944
4.063952	0.1129944
4.064815	0
4.065679	0
4.066543	0
4.067407	0
4.068272	0
4.069136	0
4.07	0
4.070865	0.1129944
4.071729	0.1129944
4.072594	0.1129944
4.073458	0.1129944
4.074322	0.1129944
4.075186	0.1129944
4.07605	0.1129944
4.076915	0.1129944
4.077779	0.1129944
4.078642	0
4.079506	0
4.08037	0
4.081235	0
4.082099	0
4.082964	0.1129944
4.083828	0.1129944
4.084692	0.1129944
4.085557	0.1129944
4.086421	0.1129944
4.087285	0.1129944
4.088149	0.1129944
4.089013	0.1129944
4.089878	0.1129944
4.090742	0.1129944
4.091606	0.1129944
4.092471	0.2259887
4.093335	0.2259887
4.094199	0.2259887
4.095063	0.1129944
4.095927	0.1129944
4.096791	0.1129944
4.097655	0.1129944
4.098519	0.1129944
4.099384	0.1129944
4.100248	0.1129944
4.101112	0.1129944
4.101976	0.1129944
4.10284	0.1129944
4.103705	0.1129944
4.104569	0.1129944
4.105433	0.1129944
4.106297	0.1129944
4.107161	0.1129944
4.108026	0.1129944
4.10889	0.1129944
4.109753	0
4.110617	0
4.111481	0
4.112346	0
4.113211	0.1129944
4.114075	0.1129944
4.114939	0.1129944
4.115803	0.1129944
4.116668	0.1129944
4.117532	0.1129944
4.118397	0.2259887
4.119261	0.2259887
4.120126	0.3389831
4.120992	0.4519774
4.121857	0.5649718
4.122721	0.5649718
4.123583	0.3389831
4.124446	0.2259887
4.12531	0.1129944
4.126174	0.1129944
4.127038	0.1129944
4.127901	0
4.128765	0
4.12963	0
4.130494	0
4.131358	0
4.132222	0
4.133086	0
4.133951	0
4.134815	0
4.135679	0
4.136543	0
4.137407	0
4.138272	0
4.139136	0
4.14	0
4.140865	0.1129944
4.141729	0.1129944
4.142594	0.1129944
4.143458	0.1129944
4.144322	0.1129944
4.145186	0.1129944
4.14605	0.1129944
4.146915	0.1129944
4.147778	0
4.148642	0
4.149506	0
4.15037	0
4.151236	0.1129944
4.1521	0.1129944
4.152964	0.1129944
4.153828	0.1129944
4.154692	0.1129944
4.155557	0.1129944
4.156421	0.1129944
4.157285	0.1129944
4.158149	0.1129944
4.159013	0.1129944
4.159878	0.1129944
4.160741	0
4.161605	0
4.162469	0
4.163333	0
4.164198	0
4.165062	0
4.165926	0
4.16679	0
4.167654	0
4.168519	0
4.169383	0
4.170247	0
4.171111	0
4.171975	0
4.17284	0
4.173704	0
4.174568	0
4.175432	0
4.176296	0
4.17716	0
4.178025	0
4.178889	0
4.179753	0
4.180617	0
4.181481	0
4.182346	0
4.18321	0
4.184074	0
4.184938	0
4.185802	0
4.186667	0
4.187531	0
4.188395	0
4.189259	0
4.190123	0
4.190988	0
4.191852	0
4.192716	0
4.19358	0
4.194444	0
4.195309	0
4.196173	0
4.197037	0
4.197901	0
4.198765	0
4.19963	0
4.200494	0
4.201358	0
4.202222	0
4.203086	0
4.203951	0
4.204815	0
4.20568	0.1129944
4.206544	0.1129944
4.207408	0.1129944
4.208273	0.1129944
4.209137	0.1129944
4.210001	0.1129944
4.210865	0.1129944
4.211729	0.1129944
4.212593	0
4.213457	0
4.214321	0
4.215185	0
4.216049	0
4.216914	0
4.217778	0
4.218643	0.1129944
4.219507	0.1129944
4.220371	0.1129944
4.221237	0.2259887
4.222101	0.2259887
4.222965	0.2259887
4.223829	0.2259887
4.224692	0.1129944
4.225557	0.1129944
4.226421	0.1129944
4.227285	0.1129944
4.228148	0
4.229012	0
4.229877	0
4.230741	0
4.231605	0
4.232469	0
4.233333	0
4.234198	0
4.235062	0
4.235926	0
4.23679	0
4.237654	0
4.238519	0
4.239383	0
4.240247	0
4.241111	0
4.241975	0
4.24284	0.1129944
4.243705	0.1129944
4.244569	0.1129944
4.245433	0.1129944
4.246297	0.1129944
4.24716	0
4.248025	0
4.248889	0
4.249753	0
4.250617	0
4.251481	0
4.252346	0
4.25321	0
4.254074	0
4.254938	0
4.255802	0
4.256667	0
4.257531	0
4.258395	0
4.259259	0
4.260123	0
4.260988	0
4.261852	0
4.262716	0
4.263581	0.1129944
4.264445	0.1129944
4.26531	0.1129944
4.266174	0.1129944
4.267038	0.1129944
4.267902	0.1129944
4.268765	0
4.26963	0
4.270494	0
4.271358	0
4.272222	0
4.273086	0
4.273951	0
4.274815	0
4.275679	0
4.276543	0
4.277407	0
4.278272	0
4.279136	0
4.28	0
4.280864	0
4.281728	0
4.282593	0
4.283457	0
4.284321	0
4.285186	0.1129944
4.28605	0.1129944
4.286916	0.2259887
4.28778	0.2259887
4.288644	0.2259887
4.289508	0.2259887
4.290372	0.2259887
4.291236	0.1129944
4.2921	0.1129944
4.292964	0.1129944
4.293827	0
4.294691	0
4.295556	0
4.29642	0
4.297284	0
4.298148	0
4.299012	0
4.299877	0
4.300741	0
4.301605	0
4.302469	0
4.303333	0
4.304198	0
4.305062	0
4.305926	0
4.30679	0
4.307654	0
4.308519	0
4.309383	0
4.310247	0
4.311111	0
4.311975	0
4.31284	0
4.313704	0
4.314568	0
4.315432	0
4.316296	0
4.31716	0
4.318025	0
4.318889	0
4.319753	0
4.320617	0
4.321481	0
4.322346	0
4.32321	0
4.324074	0
4.324938	0
4.325802	0
4.326667	0
4.327531	0
4.328395	0
4.329259	0
4.330123	0
4.330989	0.1129944
4.331854	0.2259887
4.332718	0.2259887
4.333582	0.2259887
4.334446	0.2259887
4.335311	0.2259887
4.336174	0.1129944
4.337038	0.1129944
4.337902	0.1129944
4.338765	0
4.33963	0
4.340494	0
4.341358	0
4.342222	0
4.343086	0
4.343951	0
4.344815	0
4.345679	0
4.346543	0
4.347407	0
4.348272	0
4.349136	0
4.35	0
4.350864	0
4.351728	0
4.352593	0
4.353457	0
4.354321	0
4.355186	0.1129944
4.35605	0.1129944
4.356915	0.1129944
4.357779	0.1129944
4.358643	0.1129944
4.359507	0.1129944
4.36037	0
4.361235	0
4.362099	0
4.362963	0
4.363827	0
4.364691	0
4.365556	0
4.36642	0
4.367284	0
4.368148	0
4.369012	0
4.369877	0
4.370741	0
4.371605	0
4.372469	0
4.373333	0
4.374198	0
4.375062	0
4.375926	0
4.37679	0
4.377654	0
4.378519	0.1129944
4.379384	0.1129944
4.380248	0.1129944
4.381112	0.1129944
4.381976	0.1129944
4.38284	0.1129944
4.383705	0.1129944
4.384569	0.1129944
4.385433	0.1129944
4.386297	0.1129944
4.387161	0.1129944
4.388026	0.1129944
4.38889	0.1129944
4.389754	0.1129944
4.390618	0.1129944
4.391481	0
4.392346	0
4.39321	0
4.394074	0
4.394938	0
4.395802	0
4.396667	0
4.397531	0
4.398395	0
4.39926	0.1129944
4.400125	0.2259887
4.40099	0.2259887
4.401854	0.2259887
4.402717	0.1129944
4.403581	0.1129944
4.404444	0
4.405309	0
4.406173	0
4.407037	0
4.407901	0
4.408765	0
4.40963	0
4.410494	0
4.411358	0
4.412222	0
4.413086	0
4.413951	0
4.414815	0
4.415679	0
4.416543	0
4.417407	0
4.418272	0
4.419136	0
4.42	0
4.420864	0
4.421728	0
4.422593	0
4.423457	0
4.424323	0.2259887
4.425187	0.2259887
4.426051	0.2259887
4.426916	0.2259887
4.42778	0.2259887
4.428643	0.1129944
4.429507	0.1129944
4.43037	0
4.431235	0
4.432099	0
4.432963	0
4.433827	0
4.434691	0
4.435556	0
4.43642	0
4.437284	0
4.438148	0
4.439012	0
4.439877	0
4.440741	0
4.441605	0
4.442469	0
4.443333	0
4.444198	0
4.445062	0
4.445926	0
4.44679	0
4.447654	0
4.448519	0
4.449383	0
4.450247	0
4.451111	0
4.451975	0
4.45284	0
4.453704	0
4.454568	0
4.455432	0
4.456296	0
4.45716	0
4.458025	0
4.458889	0
4.459753	0
4.460617	0
4.461482	0.1129944
4.462347	0.1129944
4.463211	0.1129944
4.464075	0.1129944
4.464939	0.1129944
4.465803	0.1129944
4.466668	0.1129944
4.467532	0.1129944
4.468396	0.1129944
4.46926	0.1129944
4.470124	0.1129944
4.470989	0.1129944
4.471854	0.2259887
4.472718	0.2259887
4.473582	0.2259887
4.474447	0.3389831
4.475312	0.3389831
4.476177	0.4519774
4.477041	0.4519774
4.477905	0.4519774
4.478769	0.4519774
4.479634	0.4519774
4.480498	0.4519774
4.481362	0.4519774
4.482226	0.4519774
4.48309	0.4519774
4.483955	0.4519774
4.484819	0.4519774
4.485683	0.4519774
4.486547	0.4519774
4.487411	0.4519774
4.488276	0.4519774
4.48914	0.4519774
4.490004	0.4519774
4.490868	0.4519774
4.491732	0.4519774
4.492596	0.4519774
4.493461	0.4519774
4.494326	0.5649718
4.495191	0.6779661
4.496056	0.7909605
4.496922	1.016949
4.497788	1.129944
4.498653	1.242938
4.499518	1.355932
4.500384	1.581921
4.501248	1.581921
4.502113	1.694915
4.502978	1.694915
4.503842	1.694915
4.504706	1.694915
4.50557	1.694915
4.506434	1.694915
4.5073	1.80791
4.508166	2.033898
4.509032	2.259887
4.509899	2.59887
4.510765	2.824859
4.51163	2.937853
4.512495	2.937853
4.51336	3.050847
4.514224	3.050847
4.515089	3.163842
4.515955	3.389831
4.516821	3.615819
4.517688	3.954802
4.518555	4.180791
4.519423	4.632768
4.52029	4.971751
4.521161	5.762712
4.522028	6.101695
4.522896	6.553672
4.523765	7.118644
4.524633	7.570621
4.5255	7.909605
4.526374	9.039548
4.527241	9.265537
4.528113	10.16949
4.52898	10.50847
4.529857	11.9774
4.530723	12.20339
4.531596	13.22034
4.532465	13.78531
4.533338	14.80226
4.534208	15.48023
4.535086	17.06215
4.53596	18.19209
4.536835	19.43503
4.537713	21.12994
4.538593	22.93785
4.53947	24.40678
4.540349	26.10169
4.541221	27.00565
4.542108	29.60452
4.542983	30.84746
4.543869	33.44633
4.544749	35.25424
4.545633	37.51412
4.546513	39.32203
4.547408	42.93785
4.54829	44.97175
4.549179	47.9096
4.550064	50.28249
4.550952	52.99435
4.551823	53.78531
4.552719	57.51412
4.5536	59.43503
4.554478	61.01695
4.555363	63.38983
4.556253	66.44068
4.557128	67.68362
4.558011	69.83051
4.55889	71.52542
4.559772	73.55932
4.560644	74.57627
4.561516	75.48023
4.562402	77.9661
4.563275	78.98305
4.564151	80.33898
4.565029	81.9209
4.565903	83.05085
4.566775	83.9548
4.567648	84.97175
4.568518	85.64972
4.569385	85.9887
4.570257	86.89266
4.571126	87.45763
4.571994	87.9096
4.572861	88.24859
4.573729	88.58757
4.574595	88.81356
4.57546	88.92655
4.576324	88.92655
4.577189	89.03955
4.578053	89.03955
4.578918	89.03955
4.579782	89.03955
4.580646	89.03955
4.581509	88.92655
4.582373	88.92655
4.583238	88.92655
4.584102	88.92655
4.584966	88.92655
4.58583	88.92655
4.586694	88.92655
4.587559	88.92655
4.588423	88.92655
4.589287	88.92655
4.59015	88.81356
4.591014	88.81356
4.591879	88.81356
4.592743	88.81356
4.593607	88.81356
4.594471	88.81356
4.595335	88.81356
4.5962	88.81356
4.597064	88.81356
4.597929	88.92655
4.598794	89.03955
4.599659	89.15254
4.600525	89.26554
4.601389	89.26554
4.602254	89.37853
4.603119	89.49153
4.603983	89.49153
4.604848	89.60452
4.605714	89.71751
4.606578	89.71751
4.607443	89.83051
4.608308	89.9435
4.609172	89.9435
4.610038	90.0565
4.610902	90.0565
4.611767	90.16949
4.612632	90.28249
4.613496	90.28249
4.614361	90.39548
4.615226	90.39548
4.61609	90.39548
4.616955	90.50847
4.617819	90.50847
4.618683	90.50847
4.619549	90.62147
4.620413	90.62147
4.621277	90.62147
4.622141	90.62147
4.623005	90.62147
4.623871	90.73446
4.624735	90.73446
4.625599	90.73446
4.626463	90.73446
4.627327	90.73446
4.628192	90.73446
4.629054	90.50847
4.629917	90.39548
4.63078	90.28249
4.631644	90.28249
4.632508	90.16949
4.633372	90.16949
4.634236	90.16949
4.6351	90.16949
4.635964	90.16949
4.636829	90.16949
4.637692	90.0565
4.638555	89.9435
4.639418	89.83051
4.640282	89.83051
4.641146	89.71751
4.64201	89.71751
4.642872	89.49153
4.643736	89.49153
4.6446	89.37853
4.645464	89.37853
4.646327	89.26554
